trial,finger,skin,normal_n,theta_s_deg,theta_d_deg,mu_s,mu_d,batch,fw,notes
1,thumb,off,5.0,30.5646,23.3622,0.590565,0.431955,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,thumb,off,5.0,30.1370,22.4766,0.580542,0.413735,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,thumb,off,5.0,29.7315,22.7949,0.571118,0.420257,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,thumb,off,5.0,29.7560,22.2077,0.571686,0.408249,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,thumb,off,5.0,30.1835,22.8358,0.581628,0.421096,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,thumb,off,10.0,30.3050,22.4168,0.584470,0.412514,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,thumb,off,10.0,30.1155,22.7565,0.580041,0.419468,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,thumb,off,10.0,29.5867,22.9976,0.567772,0.424425,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,thumb,off,10.0,30.2260,23.7381,0.582621,0.439762,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,thumb,off,10.0,30.1848,22.7245,0.581658,0.418812,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
1,index,off,5.0,30.5452,22.8619,0.590108,0.421634,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,index,off,5.0,30.4319,22.6362,0.587445,0.417001,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,index,off,5.0,30.1901,23.1921,0.581782,0.428438,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,index,off,5.0,30.3574,22.8338,0.585698,0.421056,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,index,off,5.0,29.7349,22.9605,0.571198,0.423661,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,index,off,10.0,30.1406,23.0706,0.580628,0.425930,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,index,off,10.0,30.1894,23.2177,0.581767,0.428966,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,index,off,10.0,30.0957,22.8632,0.579579,0.421660,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,index,off,10.0,30.3471,22.3477,0.585456,0.411102,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,index,off,10.0,29.9732,22.5824,0.576726,0.415899,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
1,middle,off,5.0,30.8069,22.7453,0.596284,0.419238,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,middle,off,5.0,30.3420,23.0302,0.585337,0.425096,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,middle,off,5.0,30.0154,22.1621,0.577709,0.407320,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,middle,off,5.0,30.4514,22.6195,0.587904,0.416660,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,middle,off,5.0,30.3650,22.2603,0.585876,0.409321,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,middle,off,10.0,29.9604,23.2851,0.576430,0.430360,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,middle,off,10.0,30.6146,22.2614,0.591742,0.409344,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,middle,off,10.0,29.6473,22.7647,0.569170,0.419637,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,middle,off,10.0,30.3686,22.8466,0.585960,0.421319,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,middle,off,10.0,30.2200,22.3869,0.582481,0.411902,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
