trial,finger,skin,disp_m,force_n,k_n_per_m,batch,fw
thumb_1,thumb,off,0.00010,0.18080,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00020,0.76041,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00035,1.30388,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00050,1.91424,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00070,2.75290,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00090,3.43093,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00100,3.88552,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,off,0.00120,4.62739,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00010,0.12252,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00020,0.75665,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00035,1.38307,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00050,1.90686,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00070,2.69940,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00090,3.39640,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00100,3.76088,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,off,0.00120,4.55123,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00010,0.11632,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00020,0.68020,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00035,1.12973,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00050,1.70305,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00070,2.33590,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00090,2.93370,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00100,3.36043,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,off,0.00120,4.00360,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00010,0.12414,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00020,0.79421,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00035,1.30643,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00050,1.85930,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00070,2.62017,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00090,3.27630,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00100,3.77047,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,off,0.00120,4.42196,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00010,0.09026,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00020,0.73429,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00035,1.33751,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00050,2.00920,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00070,2.73463,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00090,3.45590,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00100,3.85537,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,off,0.00120,4.59403,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00010,0.10990,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00020,0.78784,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00035,1.27390,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00050,1.88402,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00070,2.62269,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00090,3.38658,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00100,3.82325,,synthetic_batch_v1.0,synthetic-fw
index_1,index,off,0.00120,4.55882,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00010,0.18368,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00020,0.82377,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00035,1.30626,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00050,1.96595,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00070,2.65181,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00090,3.49750,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00100,3.96571,,synthetic_batch_v1.0,synthetic-fw
index_2,index,off,0.00120,4.65899,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00010,0.13785,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00020,0.74949,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00035,1.31142,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00050,1.84165,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00070,2.66399,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00090,3.40506,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00100,3.73539,,synthetic_batch_v1.0,synthetic-fw
index_3,index,off,0.00120,4.50525,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00010,0.17779,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00020,0.79573,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00035,1.39283,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00050,1.93951,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00070,2.68728,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00090,3.49026,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00100,3.94085,,synthetic_batch_v1.0,synthetic-fw
index_4,index,off,0.00120,4.71921,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00010,0.11108,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00020,0.77675,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00035,1.40432,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00050,1.96529,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00070,2.64822,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00090,3.43827,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00100,3.76416,,synthetic_batch_v1.0,synthetic-fw
index_5,index,off,0.00120,4.54126,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00010,0.13499,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00020,0.80431,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00035,1.39072,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00050,1.94770,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00070,2.73282,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00090,3.42387,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,off,0.00100,3.78346,,synthetic_batch_v1.0,synthetic-fw
