trial,closure,mass_kg,held_s,slipped,max_current_a,finger,batch,fw
1,0.70,2,5.0,0,0.500,power_grasp,synthetic_batch_v1.0,synthetic-fw
2,0.85,2,5.0,0,0.500,power_grasp,synthetic_batch_v1.0,synthetic-fw
3,1.00,2,5.0,0,0.500,power_grasp,synthetic_batch_v1.0,synthetic-fw
4,0.70,4,5.0,0,0.600,power_grasp,synthetic_batch_v1.0,synthetic-fw
5,0.85,4,5.0,0,0.600,power_grasp,synthetic_batch_v1.0,synthetic-fw
6,1.00,4,5.0,0,0.600,power_grasp,synthetic_batch_v1.0,synthetic-fw
7,0.70,6,5.0,0,0.700,power_grasp,synthetic_batch_v1.0,synthetic-fw
8,0.85,6,5.0,0,0.700,power_grasp,synthetic_batch_v1.0,synthetic-fw
9,1.00,6,5.0,0,0.700,power_grasp,synthetic_batch_v1.0,synthetic-fw
10,0.70,8,5.0,0,0.800,power_grasp,synthetic_batch_v1.0,synthetic-fw
11,0.85,8,5.0,0,0.800,power_grasp,synthetic_batch_v1.0,synthetic-fw
12,1.00,8,5.0,0,0.800,power_grasp,synthetic_batch_v1.0,synthetic-fw
13,0.70,10,5.0,0,0.900,power_grasp,synthetic_batch_v1.0,synthetic-fw
14,0.85,10,5.0,0,0.900,power_grasp,synthetic_batch_v1.0,synthetic-fw
15,1.00,10,5.0,0,0.900,power_grasp,synthetic_batch_v1.0,synthetic-fw
16,0.70,12,1.2,1,1.000,power_grasp,synthetic_batch_v1.0,synthetic-fw
17,0.85,12,1.2,1,1.000,power_grasp,synthetic_batch_v1.0,synthetic-fw
18,1.00,12,1.2,1,1.000,power_grasp,synthetic_batch_v1.0,synthetic-fw
19,0.70,14,1.2,1,1.100,power_grasp,synthetic_batch_v1.0,synthetic-fw
20,0.85,14,1.2,1,1.100,power_grasp,synthetic_batch_v1.0,synthetic-fw
21,1.00,14,1.2,1,1.100,power_grasp,synthetic_batch_v1.0,synthetic-fw
