trial,finger,skin,normal_n,theta_s_deg,theta_d_deg,mu_s,mu_d,batch,fw,notes
1,thumb,on,5.0,37.1995,28.2522,0.759028,0.537368,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,thumb,on,5.0,36.6320,28.9590,0.743532,0.553374,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,thumb,on,5.0,36.5142,28.7819,0.740344,0.549344,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,thumb,on,5.0,36.9326,28.4784,0.751712,0.542467,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,thumb,on,5.0,36.4117,28.8883,0.737580,0.551764,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,thumb,on,10.0,37.2175,28.5520,0.759524,0.544131,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,thumb,on,10.0,36.7531,29.4691,0.746820,0.565060,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,thumb,on,10.0,36.6743,28.6051,0.744679,0.545334,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,thumb,on,10.0,37.7113,28.1984,0.773204,0.536158,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,thumb,on,10.0,37.1487,28.0093,0.757630,0.531918,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
1,index,on,5.0,36.6610,29.4123,0.744318,0.563753,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,index,on,5.0,37.2974,28.4503,0.761724,0.541834,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,index,on,5.0,36.7111,28.8429,0.745679,0.550730,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,index,on,5.0,36.4296,29.0317,0.738060,0.555032,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,index,on,5.0,37.6495,28.2687,0.771482,0.537740,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,index,on,10.0,36.1764,28.9261,0.731256,0.552624,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,index,on,10.0,36.8282,29.5325,0.748864,0.566522,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,index,on,10.0,36.8138,28.7905,0.748471,0.549539,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,index,on,10.0,36.8031,28.4146,0.748180,0.541026,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,index,on,10.0,37.1055,28.2812,0.756444,0.538020,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
1,middle,on,5.0,37.2782,28.8141,0.761194,0.550076,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
2,middle,on,5.0,37.0462,28.5897,0.754818,0.544984,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
3,middle,on,5.0,36.5478,29.5309,0.741254,0.566485,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
4,middle,on,5.0,37.0339,29.2936,0.754482,0.561027,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
5,middle,on,5.0,36.9354,29.8554,0.751788,0.573991,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
6,middle,on,10.0,36.9950,28.3989,0.753418,0.540673,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
7,middle,on,10.0,37.1389,28.9809,0.757361,0.553874,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
8,middle,on,10.0,36.0575,28.7644,0.728077,0.548947,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
9,middle,on,10.0,37.2130,29.1313,0.759398,0.557308,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
10,middle,on,10.0,36.7511,28.3257,0.746765,0.539024,synthetic_batch_v1.0,synthetic-fw,synthetic_dry_run
