trial,finger,skin,disp_m,force_n,k_n_per_m,batch,fw
thumb_1,thumb,on,0.00010,0.04339,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00020,0.56281,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00035,0.87994,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00050,1.23757,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00070,1.76168,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00090,2.26178,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00100,2.52670,,synthetic_batch_v1.0,synthetic-fw
thumb_1,thumb,on,0.00120,3.02950,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00010,0.09573,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00020,0.51630,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00035,0.81732,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00050,1.19299,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00070,1.70630,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00090,2.21844,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00100,2.46601,,synthetic_batch_v1.0,synthetic-fw
thumb_2,thumb,on,0.00120,2.87276,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00010,0.05786,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00020,0.60676,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00035,0.88055,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00050,1.29663,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00070,1.85922,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00090,2.39446,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00100,2.63954,,synthetic_batch_v1.0,synthetic-fw
thumb_3,thumb,on,0.00120,3.23388,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00010,0.12340,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00020,0.43124,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00035,0.86199,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00050,1.14355,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00070,1.56790,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00090,2.10578,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00100,2.40900,,synthetic_batch_v1.0,synthetic-fw
thumb_4,thumb,on,0.00120,2.78166,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00010,0.07192,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00020,0.46717,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00035,0.84885,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00050,1.20275,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00070,1.70144,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00090,2.26287,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00100,2.57595,,synthetic_batch_v1.0,synthetic-fw
thumb_5,thumb,on,0.00120,3.03430,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00010,0.09910,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00020,0.47491,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00035,0.89900,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00050,1.25683,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00070,1.82067,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00090,2.34185,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00100,2.59753,,synthetic_batch_v1.0,synthetic-fw
index_1,index,on,0.00120,3.07150,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00010,0.06466,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00020,0.51694,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00035,0.90310,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00050,1.26607,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00070,1.78209,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00090,2.30854,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00100,2.58607,,synthetic_batch_v1.0,synthetic-fw
index_2,index,on,0.00120,3.04833,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00010,0.10280,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00020,0.54278,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00035,0.97137,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00050,1.34601,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00070,1.91268,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00090,2.45329,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00100,2.73390,,synthetic_batch_v1.0,synthetic-fw
index_3,index,on,0.00120,3.15599,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00010,0.09716,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00020,0.54578,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00035,0.92996,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00050,1.31263,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00070,1.87971,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00090,2.32894,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00100,2.62461,,synthetic_batch_v1.0,synthetic-fw
index_4,index,on,0.00120,3.11374,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00010,0.18353,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00020,0.57051,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00035,0.88657,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00050,1.28548,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00070,1.74074,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00090,2.17357,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00100,2.52060,,synthetic_batch_v1.0,synthetic-fw
index_5,index,on,0.00120,2.98728,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00010,-0.00896,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00020,0.53176,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00035,0.85381,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00050,1.20978,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00070,1.63453,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00090,2.14017,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00100,2.43214,,synthetic_batch_v1.0,synthetic-fw
middle_1,middle,on,0.00120,2.83068,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00010,0.04784,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00020,0.51168,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00035,0.83944,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00050,1.24093,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00070,1.75123,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00090,2.30462,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00100,2.53789,,synthetic_batch_v1.0,synthetic-fw
middle_2,middle,on,0.00120,3.00047,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00010,0.08463,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00020,0.49515,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00035,0.83372,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00050,1.27381,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00070,1.74892,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00090,2.24291,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00100,2.58408,,synthetic_batch_v1.0,synthetic-fw
middle_3,middle,on,0.00120,2.96263,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00010,0.02840,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00020,0.58819,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00035,0.86091,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00050,1.24148,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00070,1.78769,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00090,2.27066,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00100,2.51614,,synthetic_batch_v1.0,synthetic-fw
middle_4,middle,on,0.00120,3.10890,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00010,0.09004,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00020,0.49810,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00035,0.92340,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00050,1.25732,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00070,1.76609,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00090,2.34557,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00100,2.52880,,synthetic_batch_v1.0,synthetic-fw
middle_5,middle,on,0.00120,3.04357,,synthetic_batch_v1.0,synthetic-fw
